id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit
2898,1997-1998,Haryana,6,Gurugram,62,Other Rabi Pulses,288.0,Pulses,Rabi,2000.0,Hectare,1000.0,Tonnes,0.5,Tonnes/Hectare
2899,1997-1998,Haryana,6,Gurugram,62,Rice,101.0,Cereals,Kharif,7000.0,Hectare,20000.0,Tonnes,2.857,Tonnes/Hectare
2900,1997-1998,Haryana,6,Gurugram,62,Sugarcane,401.0,Sugar,Whole Year,1000.0,Hectare,50000.0,Tonnes,50.0,Tonnes/Hectare
2901,1997-1998,Haryana,6,Gurugram,62,Wheat,106.0,Cereals,Rabi,120000.0,Hectare,428000.0,Tonnes,3.567,Tonnes/Hectare
9667,1997-1998,Uttar Pradesh,9,Varanasi,187,Arhar/Tur,202.0,Pulses,Kharif,6379.0,Hectare,7306.0,Tonnes,1.145,Tonnes/Hectare
9668,1997-1998,Uttar Pradesh,9,Varanasi,187,Bajra,103.0,Cereals,Kharif,5355.0,Hectare,5685.0,Tonnes,1.062,Tonnes/Hectare
9669,1997-1998,Uttar Pradesh,9,Varanasi,187,Barley,107.0,Cereals,Rabi,133.0,Hectare,162.0,Tonnes,1.218,Tonnes/Hectare
9670,1997-1998,Uttar Pradesh,9,Varanasi,187,Gram,201.0,Pulses,Rabi,2630.0,Hectare,2515.0,Tonnes,0.956,Tonnes/Hectare
9671,1997-1998,Uttar Pradesh,9,Varanasi,187,Groundnut,1001.0,Oilseeds,Kharif,2.0,Hectare,2.0,Tonnes,1.0,Tonnes/Hectare
9672,1997-1998,Uttar Pradesh,9,Varanasi,187,Jowar,102.0,Cereals,Kharif,3118.0,Hectare,3024.0,Tonnes,0.97,Tonnes/Hectare
9673,1997-1998,Uttar Pradesh,9,Varanasi,187,Maize,104.0,Cereals,Kharif,6123.0,Hectare,8628.0,Tonnes,1.409,Tonnes/Hectare
9674,1997-1998,Uttar Pradesh,9,Varanasi,187,Maize,104.0,Cereals,Summer,9.0,Hectare,14.0,Tonnes,1.556,Tonnes/Hectare
9675,1997-1998,Uttar Pradesh,9,Varanasi,187,Maize,104.0,Cereals,Total,6132.0,Hectare,8642.0,Tonnes,1.409,Tonnes/Hectare
9676,1997-1998,Uttar Pradesh,9,Varanasi,187,Masoor,205.0,Pulses,Rabi,479.0,Hectare,280.0,Tonnes,0.585,Tonnes/Hectare
9677,1997-1998,Uttar Pradesh,9,Varanasi,187,Moong(Green Gram),204.0,Pulses,Kharif,550.0,Hectare,184.0,Tonnes,0.335,Tonnes/Hectare
9678,1997-1998,Uttar Pradesh,9,Varanasi,187,Moong(Green Gram),204.0,Pulses,Summer,12.0,Hectare,6.0,Tonnes,0.5,Tonnes/Hectare
9679,1997-1998,Uttar Pradesh,9,Varanasi,187,Moong(Green Gram),204.0,Pulses,Total,562.0,Hectare,190.0,Tonnes,0.338,Tonnes/Hectare
9680,1997-1998,Uttar Pradesh,9,Varanasi,187,Moth,209.0,Pulses,Kharif,892.0,Hectare,711.0,Tonnes,0.797,Tonnes/Hectare
9681,1997-1998,Uttar Pradesh,9,Varanasi,187,Onion,708.0,Vegetable,Kharif,556.0,Hectare,5497.0,Tonnes,9.887,Tonnes/Hectare
9682,1997-1998,Uttar Pradesh,9,Varanasi,187,Peas & Beans (Pulses),213.0,Pulses,Rabi,2747.0,Hectare,3195.0,Tonnes,1.163,Tonnes/Hectare
9683,1997-1998,Uttar Pradesh,9,Varanasi,187,Potato,701.0,Vegetable,Whole Year,4401.0,Hectare,72254.0,Tonnes,16.418,Tonnes/Hectare
9684,1997-1998,Uttar Pradesh,9,Varanasi,187,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,784.0,Hectare,693.0,Tonnes,0.884,Tonnes/Hectare
9685,1997-1998,Uttar Pradesh,9,Varanasi,187,Rice,101.0,Cereals,Kharif,43189.0,Hectare,115352.0,Tonnes,2.671,Tonnes/Hectare
9686,1997-1998,Uttar Pradesh,9,Varanasi,187,Sesamum,1003.0,Oilseeds,Kharif,106.0,Hectare,16.0,Tonnes,0.151,Tonnes/Hectare
9687,1997-1998,Uttar Pradesh,9,Varanasi,187,Small Millets,108.0,Cereals,Kharif,12.0,Hectare,7.0,Tonnes,0.583,Tonnes/Hectare
9688,1997-1998,Uttar Pradesh,9,Varanasi,187,Sugarcane,401.0,Sugar,Whole Year,7943.0,Hectare,326171.0,Tonnes,41.064,Tonnes/Hectare
9689,1997-1998,Uttar Pradesh,9,Varanasi,187,Sunflower,1007.0,Oilseeds,Kharif,142671.0,Hectare,348071.0,Tonnes,2.44,Tonnes/Hectare
9690,1997-1998,Uttar Pradesh,9,Varanasi,187,Urad,203.0,Pulses,Kharif,2653.0,Hectare,1907.0,Tonnes,0.719,Tonnes/Hectare
9691,1997-1998,Uttar Pradesh,9,Varanasi,187,Wheat,106.0,Cereals,Rabi,69282.0,Hectare,199806.0,Tonnes,2.884,Tonnes/Hectare
12527,1998-1999,Bihar,10,Purnia,214,Arhar/Tur,202.0,Pulses,Kharif,247.0,Hectare,372.0,Tonnes,1.506,Tonnes/Hectare
12528,1998-1999,Bihar,10,Purnia,214,Banana,606.0,Fruits,Whole Year,1622.0,Hectare,27023.0,Tonnes,16.66,Tonnes/Hectare
12529,1998-1999,Bihar,10,Purnia,214,Barley,107.0,Cereals,Rabi,88.0,Hectare,102.0,Tonnes,1.159,Tonnes/Hectare
12530,1998-1999,Bihar,10,Purnia,214,Coriander,509.0,Spices,Whole Year,67.0,Hectare,41.0,Tonnes,0.612,Tonnes/Hectare
12531,1998-1999,Bihar,10,Purnia,214,Dry Chillies,502.0,Spices,Whole Year,79.0,Hectare,74.0,Tonnes,0.937,Tonnes/Hectare
12532,1998-1999,Bihar,10,Purnia,214,Garlic,508.0,Spices,Whole Year,124.0,Hectare,180.0,Tonnes,1.452,Tonnes/Hectare
12533,1998-1999,Bihar,10,Purnia,214,Ginger,503.0,Spices,Whole Year,17.0,Hectare,24.0,Tonnes,1.412,Tonnes/Hectare
12534,1998-1999,Bihar,10,Purnia,214,Gram,201.0,Pulses,Rabi,142.0,Hectare,130.0,Tonnes,0.915,Tonnes/Hectare
12535,1998-1999,Bihar,10,Purnia,214,Jute,1102.0,Fiber Crops,Kharif,35627.0,Hectare,168634.0,Tonnes,4.733,Tonnes/Hectare
12536,1998-1999,Bihar,10,Purnia,214,Linseed,1005.0,Oilseeds,Rabi,1423.0,Hectare,896.0,Tonnes,0.63,Tonnes/Hectare
12537,1998-1999,Bihar,10,Purnia,214,Maize,104.0,Cereals,Kharif,6927.0,Hectare,5692.0,Tonnes,0.822,Tonnes/Hectare
12538,1998-1999,Bihar,10,Purnia,214,Maize,104.0,Cereals,Rabi,9224.0,Hectare,19970.0,Tonnes,2.165,Tonnes/Hectare
12539,1998-1999,Bihar,10,Purnia,214,Maize,104.0,Cereals,Summer,14976.0,Hectare,47497.0,Tonnes,3.172,Tonnes/Hectare
12540,1998-1999,Bihar,10,Purnia,214,Maize,104.0,Cereals,Total,31127.0,Hectare,73159.0,Tonnes,2.35,Tonnes/Hectare
12541,1998-1999,Bihar,10,Purnia,214,Mesta,1103.0,Fiber Crops,Kharif,2463.0,Hectare,15448.0,Tonnes,6.272,Tonnes/Hectare
12542,1998-1999,Bihar,10,Purnia,214,Niger Seed,1010.0,Oilseeds,Kharif,34.0,Hectare,21.0,Tonnes,0.618,Tonnes/Hectare
12543,1998-1999,Bihar,10,Purnia,214,Onion,708.0,Vegetable,Whole Year,377.0,Hectare,3370.0,Tonnes,8.939,Tonnes/Hectare
12544,1998-1999,Bihar,10,Purnia,214,Other Kharif Pulses,288.0,Pulses,Kharif,4099.0,Hectare,2616.0,Tonnes,0.638,Tonnes/Hectare
12545,1998-1999,Bihar,10,Purnia,214,Other Rabi Pulses,288.0,Pulses,Rabi,14989.0,Hectare,8828.0,Tonnes,0.589,Tonnes/Hectare
12546,1998-1999,Bihar,10,Purnia,214,Potato,701.0,Vegetable,Whole Year,6523.0,Hectare,54020.0,Tonnes,8.281,Tonnes/Hectare
12547,1998-1999,Bihar,10,Purnia,214,Ragi,105.0,Cereals,Kharif,44.0,Hectare,27.0,Tonnes,0.614,Tonnes/Hectare
12548,1998-1999,Bihar,10,Purnia,214,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,4068.0,Hectare,2900.0,Tonnes,0.713,Tonnes/Hectare
12549,1998-1999,Bihar,10,Purnia,214,Rice,101.0,Cereals,Summer,18535.0,Hectare,45627.0,Tonnes,2.462,Tonnes/Hectare
12550,1998-1999,Bihar,10,Purnia,214,Rice,101.0,Cereals,Total,99215.0,Hectare,129727.0,Tonnes,1.308,Tonnes/Hectare
12551,1998-1999,Bihar,10,Purnia,214,Rice,101.0,Cereals,Winter,80680.0,Hectare,84100.0,Tonnes,1.042,Tonnes/Hectare
12552,1998-1999,Bihar,10,Purnia,214,Sesamum,1003.0,Oilseeds,Kharif,42.0,Hectare,22.0,Tonnes,0.524,Tonnes/Hectare
12553,1998-1999,Bihar,10,Purnia,214,Sugarcane,401.0,Sugar,Whole Year,292.0,Hectare,11930.0,Tonnes,40.856,Tonnes/Hectare
12554,1998-1999,Bihar,10,Purnia,214,Sunflower,1007.0,Oilseeds,Kharif,1927.0,Hectare,971.0,Tonnes,0.504,Tonnes/Hectare
12555,1998-1999,Bihar,10,Purnia,214,Sweet Potato,703.0,Vegetable,Whole Year,105.0,Hectare,1135.0,Tonnes,10.81,Tonnes/Hectare
12556,1998-1999,Bihar,10,Purnia,214,Tobacco,1302.0,Drugs And Narcotics,Whole Year,133.0,Hectare,101.0,Tonnes,0.759,Tonnes/Hectare
